,movie,year,imdb,metascore,votes,n_imdb
0,Star Wars: Episode V - The Empire Strikes Back,1980,8.8,82,1032295,88.0
1,The Shining,1980,8.4,63,764451,84.0
2,Raging Bull,1980,8.2,89,283057,82.0
3,The Elephant Man,1980,8.2,77,197620,82.0
4,Airplane!,1980,7.8,78,187477,78.0
5,The Blues Brothers,1980,7.9,60,165181,79.0
6,Friday the 13th,1980,6.5,22,103500,65.0
7,Caddyshack,1980,7.3,48,95199,73.0
8,Superman II,1980,6.8,87,89468,68.0
9,The Blue Lagoon,1980,5.7,31,57574,57.0
10,The Fog,1980,6.8,55,56305,68.0
11,The Gods Must Be Crazy,1980,7.3,73,48678,73.0
12,Cannibal Holocaust,1980,5.9,22,45602,59.0
13,Flash Gordon,1980,6.5,58,45030,65.0
14,Ordinary People,1980,7.8,87,41578,78.0
15,Dressed to Kill,1980,7.1,74,29984,71.0
16,Altered States,1980,6.9,58,28825,69.0
17,Kagemusha,1980,8.0,84,28142,80.0
18,Popeye,1980,5.2,64,26643,52.0
19,The Changeling,1980,7.3,70,26028,73.0
20,9 to 5,1980,6.8,58,24350,68.0
21,Somewhere in Time,1980,7.3,29,24144,73.0
22,Stir Crazy,1980,6.8,56,22371,68.0
23,Private Benjamin,1980,6.1,59,21379,61.0
24,American Gigolo,1980,6.3,57,18991,63.0
25,The Final Countdown,1980,6.7,51,18861,67.0
26,Fame,1980,6.6,58,18472,66.0
27,The Big Red One,1980,7.2,77,17231,72.0
28,Cruising,1980,6.4,43,16137,64.0
29,Any Which Way You Can,1980,6.1,51,15673,61.0
30,Coal Miner's Daughter,1980,7.5,87,14984,75.0
31,Brubaker,1980,7.1,54,14232,71.0
32,Smokey and the Bandit II,1980,5.2,41,13394,52.0
33,Prom Night,1980,5.4,45,12977,54.0
34,Used Cars,1980,6.8,68,12221,68.0
35,Maniac,1980,6.5,22,12208,65.0
36,Heaven's Gate,1980,6.8,57,11975,68.0
37,Urban Cowboy,1980,6.3,61,11771,63.0
38,Star Wars: Episode V - The Empire Strikes Back,1980,8.8,82,1032295,88.0
39,The Shining,1980,8.4,63,764451,84.0
40,Raging Bull,1980,8.2,89,283057,82.0
41,The Elephant Man,1980,8.2,77,197620,82.0
42,Airplane!,1980,7.8,78,187477,78.0
43,The Blues Brothers,1980,7.9,60,165181,79.0
44,Friday the 13th,1980,6.5,22,103500,65.0
45,Caddyshack,1980,7.3,48,95199,73.0
46,Superman II,1980,6.8,87,89468,68.0
47,The Blue Lagoon,1980,5.7,31,57574,57.0
48,The Fog,1980,6.8,55,56305,68.0
49,The Gods Must Be Crazy,1980,7.3,73,48678,73.0
50,Cannibal Holocaust,1980,5.9,22,45602,59.0
51,Flash Gordon,1980,6.5,58,45030,65.0
52,Ordinary People,1980,7.8,87,41578,78.0
53,Dressed to Kill,1980,7.1,74,29984,71.0
54,Altered States,1980,6.9,58,28825,69.0
55,Kagemusha,1980,8.0,84,28142,80.0
56,Popeye,1980,5.2,64,26643,52.0
57,The Changeling,1980,7.3,70,26028,73.0
58,9 to 5,1980,6.8,58,24350,68.0
59,Somewhere in Time,1980,7.3,29,24144,73.0
60,Stir Crazy,1980,6.8,56,22371,68.0
61,Private Benjamin,1980,6.1,59,21379,61.0
62,American Gigolo,1980,6.3,57,18991,63.0
63,The Final Countdown,1980,6.7,51,18861,67.0
64,Fame,1980,6.6,58,18472,66.0
65,The Big Red One,1980,7.2,77,17231,72.0
66,Cruising,1980,6.4,43,16137,64.0
67,Any Which Way You Can,1980,6.1,51,15673,61.0
68,Coal Miner's Daughter,1980,7.5,87,14984,75.0
69,Brubaker,1980,7.1,54,14232,71.0
70,Smokey and the Bandit II,1980,5.2,41,13394,52.0
71,Prom Night,1980,5.4,45,12977,54.0
72,Used Cars,1980,6.8,68,12221,68.0
73,Maniac,1980,6.5,22,12208,65.0
74,Heaven's Gate,1980,6.8,57,11975,68.0
75,Urban Cowboy,1980,6.3,61,11771,63.0
76,Star Wars: Episode V - The Empire Strikes Back,1980,8.8,82,1032295,88.0
77,The Shining,1980,8.4,63,764451,84.0
78,Raging Bull,1980,8.2,89,283057,82.0
79,The Elephant Man,1980,8.2,77,197620,82.0
80,Airplane!,1980,7.8,78,187477,78.0
81,The Blues Brothers,1980,7.9,60,165181,79.0
82,Friday the 13th,1980,6.5,22,103500,65.0
83,Caddyshack,1980,7.3,48,95199,73.0
84,Superman II,1980,6.8,87,89468,68.0
85,The Blue Lagoon,1980,5.7,31,57574,57.0
86,The Fog,1980,6.8,55,56305,68.0
87,The Gods Must Be Crazy,1980,7.3,73,48678,73.0
88,Cannibal Holocaust,1980,5.9,22,45602,59.0
89,Flash Gordon,1980,6.5,58,45030,65.0
90,Ordinary People,1980,7.8,87,41578,78.0
91,Dressed to Kill,1980,7.1,74,29984,71.0
92,Altered States,1980,6.9,58,28825,69.0
93,Kagemusha,1980,8.0,84,28142,80.0
94,Popeye,1980,5.2,64,26643,52.0
95,The Changeling,1980,7.3,70,26028,73.0
96,9 to 5,1980,6.8,58,24350,68.0
97,Somewhere in Time,1980,7.3,29,24144,73.0
98,Stir Crazy,1980,6.8,56,22371,68.0
99,Private Benjamin,1980,6.1,59,21379,61.0
100,American Gigolo,1980,6.3,57,18991,63.0
101,The Final Countdown,1980,6.7,51,18861,67.0
102,Fame,1980,6.6,58,18472,66.0
103,The Big Red One,1980,7.2,77,17231,72.0
104,Cruising,1980,6.4,43,16137,64.0
105,Any Which Way You Can,1980,6.1,51,15673,61.0
106,Coal Miner's Daughter,1980,7.5,87,14984,75.0
107,Brubaker,1980,7.1,54,14232,71.0
108,Smokey and the Bandit II,1980,5.2,41,13394,52.0
109,Prom Night,1980,5.4,45,12977,54.0
110,Used Cars,1980,6.8,68,12221,68.0
111,Maniac,1980,6.5,22,12208,65.0
112,Heaven's Gate,1980,6.8,57,11975,68.0
113,Urban Cowboy,1980,6.3,61,11771,63.0
114,Star Wars: Episode V - The Empire Strikes Back,1980,8.8,82,1032295,88.0
115,The Shining,1980,8.4,63,764451,84.0
116,Raging Bull,1980,8.2,89,283057,82.0
117,The Elephant Man,1980,8.2,77,197620,82.0
118,Airplane!,1980,7.8,78,187477,78.0
119,The Blues Brothers,1980,7.9,60,165181,79.0
120,Friday the 13th,1980,6.5,22,103500,65.0
121,Caddyshack,1980,7.3,48,95199,73.0
122,Superman II,1980,6.8,87,89468,68.0
123,The Blue Lagoon,1980,5.7,31,57574,57.0
124,The Fog,1980,6.8,55,56305,68.0
125,The Gods Must Be Crazy,1980,7.3,73,48678,73.0
126,Cannibal Holocaust,1980,5.9,22,45602,59.0
127,Flash Gordon,1980,6.5,58,45030,65.0
128,Ordinary People,1980,7.8,87,41578,78.0
129,Dressed to Kill,1980,7.1,74,29984,71.0
130,Altered States,1980,6.9,58,28825,69.0
131,Kagemusha,1980,8.0,84,28142,80.0
132,Popeye,1980,5.2,64,26643,52.0
133,The Changeling,1980,7.3,70,26028,73.0
134,9 to 5,1980,6.8,58,24350,68.0
135,Somewhere in Time,1980,7.3,29,24144,73.0
136,Stir Crazy,1980,6.8,56,22371,68.0
137,Private Benjamin,1980,6.1,59,21379,61.0
138,American Gigolo,1980,6.3,57,18991,63.0
139,The Final Countdown,1980,6.7,51,18861,67.0
140,Fame,1980,6.6,58,18472,66.0
141,The Big Red One,1980,7.2,77,17231,72.0
142,Cruising,1980,6.4,43,16137,64.0
143,Any Which Way You Can,1980,6.1,51,15673,61.0
144,Coal Miner's Daughter,1980,7.5,87,14984,75.0
145,Brubaker,1980,7.1,54,14232,71.0
146,Smokey and the Bandit II,1980,5.2,41,13394,52.0
147,Prom Night,1980,5.4,45,12977,54.0
148,Used Cars,1980,6.8,68,12221,68.0
149,Maniac,1980,6.5,22,12208,65.0
150,Heaven's Gate,1980,6.8,57,11975,68.0
151,Urban Cowboy,1980,6.3,61,11771,63.0
152,Raiders of the Lost Ark,1981,8.5,85,797045,85.0
153,Das Boot,1981,8.4,86,205460,84.0
154,The Evil Dead,1981,7.5,71,167300,75.0
155,The Road Warrior,1981,7.6,77,152890,76.0
156,Escape from New York,1981,7.2,76,110431,72.0
157,For Your Eyes Only,1981,6.8,54,82624,68.0
158,An American Werewolf in London,1981,7.6,60,80333,76.0
159,The Fox and the Hound,1981,7.3,65,75523,73.0
160,Halloween II,1981,6.6,40,65265,66.0
161,Stripes,1981,6.9,68,57894,69.0
162,Excalibur,1981,7.4,56,52954,74.0
163,Time Bandits,1981,7.0,79,52690,70.0
164,Friday the 13th Part 2,1981,6.1,26,50386,61.0
165,Chariots of Fire,1981,7.2,78,48572,72.0
166,Scanners,1981,6.8,60,42211,68.0
167,History of the World: Part I,1981,6.9,47,42191,69.0
168,Clash of the Titans,1981,6.9,59,37203,69.0
169,Blow Out,1981,7.4,85,36438,74.0
170,Porky's,1981,6.2,40,34868,62.0
171,Gallipoli,1981,7.5,65,33665,75.0
172,The Cannonball Run,1981,6.2,28,30192,62.0
173,Heavy Metal,1981,6.7,51,27816,67.0
174,The Howling,1981,6.6,68,27418,66.0
175,Body Heat,1981,7.4,77,27387,74.0
176,On Golden Pond,1981,7.7,68,25100,77.0
177,Victory,1981,6.6,57,24699,66.0
178,Outland,1981,6.6,48,24629,66.0
179,Arthur,1981,6.9,69,23763,69.0
180,Thief,1981,7.4,78,21043,74.0
181,The Postman Always Rings Twice,1981,6.6,61,19639,66.0
182,Reds,1981,7.4,76,18897,74.0
183,Quest for Fire,1981,7.4,79,18874,74.0
